id,Order ID,Amount,Profit,Quantity,Category,Sub-Category
1,B25601,1275,-1148,7,Furniture,Bookcases
2,B25601,66,-12,5,Clothing,Stole
3,B25601,8,-2,3,Clothing,Hankerchief
4,B25601,80,-56,4,Electronics,Electronic Games
5,B25602,168,-111,2,Electronics,Phones
6,B25602,424,-272,5,Electronics,Phones
7,B25602,2617,1151,4,Electronics,Phones
8,B25602,561,212,3,Clothing,Saree
9,B25602,119,-5,8,Clothing,Saree
10,B25603,1355,-60,5,Clothing,Trousers
11,B25603,24,-30,1,Furniture,Chairs
12,B25603,193,-166,3,Clothing,Saree
13,B25603,180,5,3,Clothing,Trousers
14,B25603,116,16,4,Clothing,Stole
15,B25603,107,36,6,Clothing,Stole
16,B25603,12,1,2,Clothing,Hankerchief
17,B25603,38,18,1,Clothing,Kurti
18,B25604,65,17,2,Clothing,T-shirt
19,B25604,157,5,9,Clothing,Saree
20,B25605,75,0,7,Clothing,Saree
21,B25606,87,4,2,Clothing,Shirt
22,B25607,50,15,4,Clothing,Leggings
23,B25608,1364,-1864,5,Furniture,Tables
24,B25608,476,0,3,Furniture,Chairs
25,B25608,257,23,5,Clothing,Hankerchief
26,B25608,856,385,6,Electronics,Printers
27,B25609,485,29,4,Electronics,Electronic Games
28,B25609,25,-5,4,Clothing,Saree
29,B25610,1076,-38,4,Electronics,Printers
30,B25610,107,-54,4,Clothing,Stole
31,B25610,68,-55,5,Electronics,Accessories
32,B25610,781,-594,6,Electronics,Printers
33,B25610,43,0,3,Clothing,Saree
34,B25610,30,-5,2,Furniture,Furnishings
35,B25611,160,-59,2,Clothing,Saree
36,B25612,259,-55,2,Furniture,Chairs
37,B25613,1603,0,9,Clothing,Saree
38,B25614,494,54,4,Furniture,Bookcases
39,B25614,98,-12,2,Electronics,Electronic Games
40,B25615,68,20,5,Clothing,Hankerchief
41,B25616,42,12,5,Clothing,Hankerchief
42,B25616,116,-56,5,Clothing,Stole
43,B25616,22,-2,3,Clothing,Hankerchief
44,B25616,14,-2,3,Clothing,Hankerchief
45,B25617,305,-270,5,Electronics,Electronic Games
46,B25618,362,127,1,Furniture,Bookcases
47,B25618,12,0,2,Clothing,Hankerchief
48,B25619,353,90,8,Clothing,Saree
